u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-5.9984,-5.7105,-5.2401,-4.6065,-4.5944,-4.2087,2.2085,2.2788,2.3052,2.4977,2.9186,3.4315,D02129_A01AB22
-5.9938,-5.7123,-5.2378,-4.6081,-4.5958,-4.2074,2.2071,2.274,2.3074,2.4862,2.9142,3.4572,D02129_J01AA02
-6.0199,-5.7182,-5.2569,-4.6346,-4.586,-4.2078,2.2086,2.2441,2.4348,2.4914,2.9126,3.4245,D03903_A01AB22
-6.002,-5.7905,-5.2332,-4.6398,-4.6332,-4.2088,2.2084,2.2464,2.3861,2.7563,2.907,3.1497,D03903_J01AA02
-5.9944,-5.7195,-5.2508,-4.6054,-4.5957,-4.2073,2.2055,2.2834,2.3009,2.503,2.9147,3.4331,D03904_A01AB22
-5.9963,-5.7116,-5.237,-4.6067,-4.5984,-4.2073,2.2102,2.2745,2.2943,2.4886,2.9158,3.4656,D03904_J01AA02
-5.9972,-5.7162,-5.2475,-4.6066,-4.5966,-4.2079,2.2095,2.2779,2.2908,2.5069,2.9158,3.4516,D07877_A01AB22
-5.998,-5.715,-5.247,-4.6075,-4.5969,-4.2078,2.2089,2.2747,2.305,2.5027,2.9162,3.4529,D07877_J01AA02
-6.0001,-5.7682,-5.2571,-4.6063,-4.591,-4.2085,1.9932,2.2008,2.2628,2.5093,2.9181,3.3864,D05045_A01AB23
-6.0032,-5.7736,-5.2407,-4.609,-4.5876,-4.2103,1.9951,2.2011,2.276,2.505,2.9195,3.3732,D05045_J01AA08
-6.0292,-5.7976,-5.2252,-4.6014,-4.5691,-4.2044,1.9801,2.217,2.2235,2.4216,2.9099,3.0628,D00850_A01AB23
-6.0164,-5.7843,-5.2266,-4.6065,-4.5781,-4.2049,1.9875,2.213,2.2502,2.4033,2.9105,3.2605,D00850_J01AA08
-3.6328,-2.9632,-2.3527,-2.2888,-2.2081,-1.9133,1.4272,1.4463,1.4688,2.0023,2.1666,2.6999,D00385_A01AC01
-3.6329,-2.9812,-2.3544,-2.3235,-2.1116,-1.9136,1.5796,1.6478,1.6561,1.7851,2.0345,2.6247,D00385_C05AA12
-3.6204,-2.9721,-2.3585,-2.3117,-1.9186,-1.9115,1.446,1.4495,1.6376,1.7768,1.9119,2.5081,D00385_D07AB09
-3.6229,-2.9768,-2.3569,-2.325,-1.9192,-1.9132,1.5597,1.5707,1.6288,1.7588,2.1089,2.5157,D00385_D07XB02
-3.6328,-2.9796,-2.3492,-2.325,-2.0667,-1.9147,1.4825,1.5434,1.5766,1.6647,2.0778,2.6062,D00385_H02AB08
-3.6357,-2.9643,-2.3705,-2.2864,-1.924,-1.9138,1.4417,1.5802,1.6177,2.1368,2.1738,2.5074,D00385_R01AD11
-3.6285,-2.9727,-2.3538,-2.3297,-2.0163,-1.9229,1.5566,1.5604,1.6352,1.8461,1.969,2.583,D00385_R03BA06
-3.6182,-2.9644,-2.3647,-2.2907,-1.9258,-1.9138,1.4289,1.4322,1.4422,1.751,2.1053,2.5,D00385_S01BA05
-3.6445,-3.1715,-3.1604,-2.9726,-2.363,-1.9274,1.2743,1.4158,1.4425,1.594,1.759,1.9254,D00983_A01AC01
-3.6535,-3.1694,-3.1573,-2.9714,-2.3586,-1.9267,1.3412,1.4118,1.4297,1.6583,1.7546,1.9221,D00983_C05AA12
-3.6345,-3.1597,-3.1591,-2.9724,-2.3576,-1.9242,1.3072,1.4284,1.4482,1.5348,1.764,1.9274,D00983_D07AB09
-3.6331,-3.1601,-3.1597,-2.9726,-2.3583,-1.9242,1.3083,1.4282,1.4481,1.5464,1.7464,1.9276,D00983_D07XB02
-3.6352,-3.169,-3.1623,-2.9704,-2.3593,-1.9252,1.2477,1.4214,1.4456,1.5992,1.7589,1.9294,D00983_H02AB08
-3.6188,-3.0769,-3.0744,-2.9652,-2.3441,-1.9165,1.3607,1.4125,1.4422,1.6679,1.9035,2.1012,D00983_R01AD11
-3.6688,-3.0996,-3.0604,-2.977,-2.3471,-1.9162,1.3568,1.4115,1.4343,1.4417,1.9039,2.0437,D00983_R03BA06
-3.6105,-3.0801,-3.0775,-2.9683,-2.3491,-1.9165,1.3588,1.4039,1.4299,1.5865,1.9038,2.0466,D00983_S01BA05
