u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,Label
-6.2033,-4.8599,-4.8502,-4.8252,-0.878,-0.6423,1.4564,1.4759,1.4816,1.882,1.8883,1.9199,D07210-01
-6.0956,-6.0283,-4.6555,-4.6367,-4.6321,-4.6043,1.7386,1.7472,1.8636,1.8673,2.9059,3.9667,D09698-01
-4.4323,-3.3272,-3.0631,-1.2079,-0.8778,-0.8087,0.4871,0.5277,0.6423,1.1382,1.2899,1.5736,D06086-01
-1.9143,-1.9118,-1.4924,-1.1326,-1.1303,-1.1266,0.7347,0.7352,0.8185,0.8185,1.2143,2.259,D08028-01
-10.7971,-10.7779,-5.184,-3.8781,-3.0511,-2.906,1.7501,1.8066,2.7084,2.7258,3.4748,5.3466,D09331-01
-6.1564,-4.6966,-4.6911,-4.6711,-3.0137,-2.0218,1.465,1.4985,1.6098,1.6302,1.6353,3.3447,D05462-01
-5.4911,-5.4818,-5.4809,-5.109,-4.5774,-4.1835,1.7939,1.8117,2.054,2.3353,2.6289,3.42,D06553-01
-3.6396,-3.0156,-2.3262,-1.9139,-1.8385,-1.3001,1.0025,1.0623,1.4515,1.4764,1.5029,1.6126,D07715-01
-13.6941,-13.694,-13.6938,-13.6915,-13.6886,-13.6857,6.1128,6.1133,6.1142,6.1158,6.7722,7.3517,D05469-01
-4.9381,-4.9285,-4.5119,-4.1584,-4.1524,-4.1484,1.677,1.9597,2.0516,2.291,2.3468,2.4283,D06413-01
-6.0312,-6.0276,-4.6011,-4.5946,-4.5942,-4.5937,1.5708,1.5745,2.4907,2.5959,3.0503,3.1833,D05241-01
-13.1375,-13.1281,-12.546,-12.54,-10.9467,-10.9366,5.1277,5.1294,5.1908,5.2041,5.9436,5.9476,D08902-01
-9.6231,-8.8275,-2.5866,-2.5764,-1.9776,-1.667,1,1.1351,1.8017,2.3673,2.7749,5.2805,D05404-01
-4.4391,-3.6394,-3.0444,-3.0131,-2.3309,-1.9157,1.3491,1.4521,1.4558,1.4588,1.5549,2.1418,D05603-01
-11.2438,-11.0564,-9.3571,-7.8636,-5.732,-5.5704,3.7101,3.7497,3.9486,4.0214,4.4309,6.7349,D05668-01
-6.1792,-6.1519,-4.8008,-4.798,-4.6999,-4.6992,1.895,1.9539,2.1285,2.4831,2.6494,3.3634,D09934-01
-2.1103,-1.1181,-1.0952,-1.0182,-0.6418,-0.4715,0.3254,0.3399,0.51,0.5936,0.6455,1.793,D07109-01
-4.4992,-1.1962,-0.8882,-0.8875,-0.7169,-0.706,0.5731,0.6011,0.6605,0.6683,0.777,1.9264,D05617-01
-6.0902,-6.0324,-5.7838,-5.1375,-5.137,-4.6246,2.0503,2.4347,2.6724,3.2758,3.6249,4.0179,D07326-01
-6.1925,-5.5637,-4.6959,-4.6765,-4.3033,-4.14,1.6385,1.7346,1.7522,1.9696,2.4372,3.1678,D06405-01
-13.2516,-13.249,-12.8073,-9.6238,-9.622,-8.8251,3.2525,3.8895,4.0875,4.0882,5.2789,5.2808,D05845-01
-5.1828,-5.1825,-5.0608,-4.627,-4.6206,-3.9233,2.3077,2.4268,2.4634,2.5415,3.4859,3.491,D09572-01
-7.0524,-5.8168,-3.851,-3.6755,-2.3981,-2.3312,1.9767,2.415,2.6381,2.6518,2.8766,3.2326,D07930-01
-4.6329,-3.6364,-3.136,-3.105,-3.0092,-2.844,1.9331,2.1469,2.1718,2.3762,2.5366,3.2299,D06019-01
-1.5432,-1.5401,-0.5554,-0.5537,-0.4442,-0.4411,0.3866,0.3883,0.3897,0.3905,0.3909,0.7487,D05843-01
-5.7007,-5.6943,-4.3675,-4.3644,-2.8891,-2.1897,1.5656,1.5666,1.7398,1.9385,1.9934,3.0704,D05689-01
-5.4889,-5.4864,-5.4848,-5.4844,-5.4841,-5.4838,2.4939,2.6181,2.6316,2.6572,2.8933,2.9207,D07811-01
-6.8144,-5.182,-4.9448,-4.9415,-3.8771,-2.8069,1.9999,2.4278,2.5308,3.4738,3.4966,3.4974,D08337-01
-6.0277,-6.0258,-4.8451,-4.6357,-4.6051,-4.6028,1.9933,2.0556,2.3629,2.3703,2.9188,4.4314,D05509-01
-7.5638,-7.5595,-4.41,-3.8523,-3.7016,-2.8911,1.5366,2.3631,2.4337,2.4608,2.6166,3.4637,D05687-01
-9.3146,-9.306,-3.2018,-1.1042,-1.0634,-1.01,0.9397,0.9495,0.9673,1.0243,1.5257,5.3507,D05285-01
-9.6255,-9.6249,-9.6241,-8.8302,-8.8267,-8.8264,3.4246,3.4649,4.0174,5.245,5.2732,5.3081,D05333-01
